S. ID.,Start Time,End Time,Session ID,Consent,,Baseline/Questionniare,,Stroop Test,,Relax,,Interview,,Relax,,Hyperventilation,,Relax,,Questionniare,,Relax/Baseline,,,Date
,,,,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,Start,End,,
S01,9:22,10:22,1445405,9:22,9:27,9:39,9:43,9:29,9:34,9:34,9:39,9:44,9:54,9:54,9:59,10:00,10:02,10:02,10:07,10:08,10:12,10:12,10:22,Day 1,7-Feb-2022
S02,9:48,10:51,1445449,9:48,9:50,9:52,10:02,10:03,10:08,10:08,10:13,10:13,10:24,10:24,10:29,10:29,10:31,10:31,10:36,10:36,10:41,10:41,10:51,Day 1,7-Feb-2022
S03,10:50,11:50,1445450,10:50,10:53,10:55,11:02,11:04,11:09,11:09,11:14,11:14,11:23,11:23,11:28,11:28,11:30,11:30,11:35,11:35,11:40,11:40,11:50,Day 1,7-Feb-2022
S04,11:25,12:28,1445452,11:25,11:30,11:30,11:40,11:40,11:45,11:45,11:50,11:50,12:00,12:00,12:05,12:05,12:07,12:07,12:12,12:12,12:18,12:18,12:28,Day 1,7-Feb-2022
S05,9:05,10:06,1449998,9:05,9:10,9:12,9:22,9:23,9:29,9:29,9:34,9:34,9:44,9:44,9:49,9:49,9:51,9:51,9:56,9:56,10:01,10:01,10:06,Day 2,14-Feb-2022
S06,9:41,10:40,1450001,9:41,9:43,9:44,9:54,9:55,10:01,10:02,10:07,10:07,10:18,10:18,10:23,10:23,10:25,10:25,10:30,10:30,10:35,10:35,10:40,Day 2,14-Feb-2022
S07,10:25,11:26,1450002,10:25,10:29,10:31,10:41,10:43,10:48,10:48,10:53,10:53,11:03,11:03,11:08,11:09,11:11,11:11,11:16,11:16,11:21,11:21,11:26,Day 2,14-Feb-2022
S08,12:08,1:05,1450061,12:08,12:10,12:12,12:22,12:23,12:28,12:28,12:33,12:34,12:43,12:43,12:48,12:48,12:50,12:50,12:55,12:55,1:00,1:00,1:05,Day 2,14-Feb-2022
S09,12:34,1:31,1450063,12:34,12:36,12:38,12:48,12:49,12:54,12:54,12:59,12:59,1:09,1:09,1:14,1:14,1:16,1:16,1:21,1:21,1:26,1:26,1:31,Day 2,14-Feb-2022
S10,1:11,2:05,1450065,1:11,1:13,1:14,1:23,1:23,1:28,1:29,1:34,1:34,1:43,1:43,1:48,1:49,1:51,1:51,1:56,1:56,1:59,1:59,2:05,Day 2,14-Feb-2022
S11,3:15,4:15,1450169,3:15,3:19,3:21,3:31,3:32,3:38,3:38,3:43,3:43,3:53,3:53,3:58,3:58,4:00,4:01,4:06,4:06,4:10,4:10,4:15,Day 2,14-Feb-2022
S12,9:09,10:10,1454360,9:09,9:14,9:15,9:25,9:26,9:31,9:31,9:37,9:38,9:48,9:48,9:53,9:53,9:55,9:55,10:00,10:00,10:05,10:05,10:10,Day 3,21-Feb-2022
S13,11:20,12:20,1454571,11:20,11:25,11:25,11:35,11:35,11:42,11:42,11:47,11:48,11:58,11:58,12:03,12:03,12:05,12:05,12:10,12:10,12:14,12:14,12:20,Day 3,21-Feb-2022
S14,11:41,12:46,145474,11:41,11:46,11:47,11:57,12:01,12:06,12:06,12:11,12:11,12:21,12:22,12:28,12:28,12:30,12:31,12:36,12:36,12:42,12:42,12:46,Day 3,21-Feb-2022
